机场	起飞/到达	航线名
贵阳龙洞堡国际机场	21:05	贵阳到北京
北京首都国际机场	0:05	
佳木斯东郊机场	21:05	佳木斯到北京
北京首都国际机场	23:55	
贵阳龙洞堡国际机场	21:10	贵阳到北京
北京首都国际机场	0:05	
深圳宝安国际机场	21:10	深圳到北京
北京首都国际机场	0:15	
深圳宝安国际机场	21:10	深圳到北京
北京首都国际机场	0:15	
昆明长水国际机场	21:10	昆明到北京
北京首都国际机场	0:20	
贵阳龙洞堡国际机场	21:10	贵阳到北京
北京首都国际机场	0:05	
贵阳龙洞堡国际机场	21:10	贵阳到北京
北京首都国际机场	0:05	
深圳宝安国际机场	21:10	深圳到北京
北京首都国际机场	0:15	
呼和浩特白塔国际机场	21:15	呼和浩特到北京
北京首都国际机场	22:35	
牡丹江海浪机场	21:15	牡丹江到北京
北京首都国际机场	23:40	
杭州萧山国际机场	21:15	杭州到北京
北京首都国际机场	23:35	
呼和浩特白塔国际机场	21:15	呼和浩特到北京
北京首都国际机场	22:35	
牡丹江海浪机场	21:15	牡丹江到北京
北京首都国际机场	23:40	
杭州萧山国际机场	21:15	杭州到北京
北京首都国际机场	23:35	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
梅州梅县机场	21:20	梅州到北京
北京首都国际机场	0:35	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
沈阳桃仙国际机场	21:25	沈阳到北京
北京首都国际机场	23:00	
沈阳桃仙国际机场	21:25	沈阳到北京
北京首都国际机场	23:00	
珠海金湾机场	21:30	珠海到北京
北京首都国际机场	0:35	
上海浦东国际机场	21:30	上海到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
梅州梅县机场	21:20	梅州到北京
北京首都国际机场	0:35	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	0:10	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:50	
佳木斯东郊机场	21:20	佳木斯到北京
北京首都国际机场	23:55	
沈阳桃仙国际机场	21:25	沈阳到北京
北京首都国际机场	23:00	
沈阳桃仙国际机场	21:25	沈阳到北京
北京首都国际机场	23:00	
珠海金湾机场	21:30	珠海到北京
北京首都国际机场	0:35	
上海浦东国际机场	21:30	上海到北京
北京首都国际机场	23:50	
上海浦东国际机场	21:30	上海到北京
北京首都国际机场	23:50	
南京禄口国际机场	21:30	南京到北京
北京首都国际机场	23:40	
西安咸阳国际机场	21:30	西安到北京
北京首都国际机场	23:20	
珠海金湾机场	21:30	珠海到北京
北京首都国际机场	0:35	
遵义新舟机场	21:35	遵义到北京
北京首都国际机场	0:20	
遵义新舟机场	21:35	遵义到北京
北京首都国际机场	0:25	
上海虹桥国际机场	21:45	上海到北京
北京首都国际机场	0:20	
长沙黄花国际机场	21:45	长沙到北京
北京首都国际机场	0:10	
上海浦东国际机场	21:45	上海到北京
北京首都国际机场	0:10	
上海虹桥国际机场	21:45	上海到北京
北京首都国际机场	0:20	
上海虹桥国际机场	21:45	上海到北京
北京首都国际机场	0:20	
上海浦东国际机场	21:45	上海到北京
北京首都国际机场	0:10	
杭州萧山国际机场	21:45	杭州到北京
北京首都国际机场	0:20	
通辽机场	21:45	通辽到北京
北京首都国际机场	23:20	
通辽机场	21:45	通辽到北京
北京首都国际机场	23:20	
绵阳南郊机场	21:45	绵阳到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
中卫沙坡头机场	21:55	中卫到北京
北京首都国际机场	0:05	
大连周水子国际机场	21:55	大连到北京
北京首都国际机场	23:25	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	23:55	
成都双流国际机场	21:55	成都到北京
北京首都国际机场	0:40	
威海大水泊机场	21:55	威海到北京
北京首都国际机场	23:30	
广州白云国际机场	21:55	广州到北京
北京首都国际机场	1:10	
上海虹桥国际机场	21:45	上海到北京
北京首都国际机场	0:20	
上海浦东国际机场	21:45	上海到北京
北京首都国际机场	0:10	
杭州萧山国际机场	21:45	杭州到北京
北京首都国际机场	0:20	
通辽机场	21:45	通辽到北京
北京首都国际机场	23:20	
通辽机场	21:45	通辽到北京
北京首都国际机场	23:20	
绵阳南郊机场	21:45	绵阳到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
宜春明月山机场	21:50	宜春到北京
北京首都国际机场	0:30	
中卫沙坡头机场	21:55	中卫到北京
北京首都国际机场	0:05	
大连周水子国际机场	21:55	大连到北京
北京首都国际机场	23:25	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	23:55	
成都双流国际机场	21:55	成都到北京
北京首都国际机场	0:40	
威海大水泊机场	21:55	威海到北京
北京首都国际机场	23:30	
广州白云国际机场	21:55	广州到北京
北京首都国际机场	1:10	
铜仁凤凰机场	21:55	铜仁到北京
北京首都国际机场	0:30	
中卫沙坡头机场	21:55	中卫到北京
北京首都国际机场	0:05	
宜昌三峡机场	21:55	宜昌到北京
北京首都国际机场	0:10	
成都双流国际机场	21:55	成都到北京
北京首都国际机场	0:40	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	23:55	
威海大水泊机场	21:55	威海到北京
北京首都国际机场	23:30	
成都双流国际机场	21:55	成都到北京
北京首都国际机场	0:40	
大连周水子国际机场	21:55	大连到北京
北京首都国际机场	23:25	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	21:55	大庆到北京
北京首都国际机场	23:55	
成都双流国际机场	21:55	成都到北京
北京首都国际机场	0:40	
阜阳西关机场	22:00	阜阳到北京
北京首都国际机场	23:55	
哈尔滨太平国际机场	22:00	哈尔滨到北京
北京首都国际机场	0:15	
哈尔滨太平国际机场	22:00	哈尔滨到北京
北京首都国际机场	0:15	
南昌昌北国际机场	22:00	南昌到北京
北京首都国际机场	0:35	
阜阳西关机场	22:00	阜阳到北京
北京首都国际机场	23:55	
大庆萨尔图机场　	22:05	大庆到北京
北京首都国际机场	0:15	
临汾乔李机场	22:05	临汾到北京
北京首都国际机场	23:35	
武汉天河国际机场	22:05	武汉到北京
北京首都国际机场	0:05	
广州白云国际机场	22:05	广州到北京
北京首都国际机场	1:35	
武汉天河国际机场	22:05	武汉到北京
北京首都国际机场	0:05	
大庆萨尔图机场　	22:05	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	22:05	大庆到北京
北京首都国际机场	0:15	
武汉天河国际机场	22:05	武汉到北京
北京首都国际机场	0:05	
大庆萨尔图机场　	22:05	大庆到北京
北京首都国际机场	0:15	
大庆萨尔图机场　	22:05	大庆到北京
北京首都国际机场	0:15	
临汾乔李机场	22:05	临汾到北京
北京首都国际机场	23:35	
温州龙湾国际机场	22:10	温州到北京
北京首都国际机场	1:05	
太原武宿国际机场	22:10	太原到北京
北京首都国际机场	23:30	
哈尔滨太平国际机场	22:15	哈尔滨到北京
北京首都国际机场	0:35	
宜昌三峡机场	22:15	宜昌到北京
北京首都国际机场	0:25	
哈尔滨太平国际机场	22:15	哈尔滨到北京
北京首都国际机场	0:35	
厦门高崎国际机场	22:15	厦门到北京
北京首都国际机场	1:15	
青岛流亭国际机场	22:15	青岛到北京
北京首都国际机场	23:50	
昆明长水国际机场	22:25	昆明到北京
北京首都国际机场	1:40	
威海大水泊机场	22:25	威海到北京
北京首都国际机场	23:55	
长春龙嘉国际机场	22:25	长春到北京
北京首都国际机场	0:20	
哈尔滨太平国际机场	22:25	哈尔滨到北京
北京首都国际机场	0:35	
昆明长水国际机场	22:25	昆明到北京
北京首都国际机场	1:40	
长春龙嘉国际机场	22:25	长春到北京
北京首都国际机场	0:20	
哈尔滨太平国际机场	22:25	哈尔滨到北京
北京首都国际机场	0:35	
昆明长水国际机场	22:25	昆明到北京
北京首都国际机场	1:40	
威海大水泊机场	22:25	威海到北京
北京首都国际机场	23:55	
昆明长水国际机场	22:25	昆明到北京
北京首都国际机场	1:40	
威海大水泊机场	22:25	威海到北京
北京首都国际机场	23:55	
大庆萨尔图机场　	22:30	大庆到北京
北京首都国际机场	0:40	
西安咸阳国际机场	22:30	西安到北京
北京首都国际机场	0:35	
大庆萨尔图机场　	22:30	大庆到北京
北京首都国际机场	0:40	
大庆萨尔图机场　	22:30	大庆到北京
北京首都国际机场	0:40	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
东营胜利机场	22:35	东营到北京
北京首都国际机场	23:50	
张家界荷花机场	22:35	张家界到北京
北京首都国际机场	1:10	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
西安咸阳国际机场	22:40	西安到北京
北京首都国际机场	0:30	
兰州中川机场	22:40	兰州到北京
北京首都国际机场	0:45	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
包头东河机场	22:45	包头到北京
北京首都国际机场	0:20	
临沂沭埠岭机场	22:50	临沂到北京
北京首都国际机场	0:30	
东营胜利机场	22:50	东营到北京
北京首都国际机场	0:05	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
威海大水泊机场	22:55	威海到北京
北京首都国际机场	0:35	
连云港白塔埠机场	23:00	连云港到北京
北京首都国际机场	0:35	
大连周水子国际机场	23:05	大连到北京
北京首都国际机场	0:25	
